nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,Koscher,RavarorBeskrivning,Pant,EtisktEtikett
7372301,1192082,73723,Marani,Appassimento Bianco Sartori,150.00,750.00,200.00,2017-03-01,0,Vitt vin,,,Flaska,Naturkork,Venetien,Italien,Casa Vinicola Sartori,Amka Vinimport AB,2016,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
9601801,1192094,96018,Nyetimber,Classic Cuvee,395.00,750.00,526.67,2017-05-05,0,Mousserande vin,Vitt Torrt,,Flaska,Natur,,Storbritannien,Nyetimber,Swedish Brand AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
9215101,1192097,92151,Hallgarten Jungfer Grosses Gewächs Dry,Weingut Prinz,289.00,750.00,385.33,2017-08-18,0,Vitt vin,Friskt & Fruktigt,,Flaska,Natur,Rheingau,Tyskland,Weingut Prinz,Granqvist Beverage House AB,2015,,13.00%,TSE,Små partier,0,0,0,Riesling.,NA,NA
7868501,1192109,78685,Quinta do Pego,Grande Reserva,299.00,750.00,398.67,2017-03-01,0,Rött vin,,,Flaska,Naturkork,Douro,Portugal,Quinta do Pégo,Amka Vinimport AB,2014,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7987201,1192133,79872,Vera,Organic Barbera,89.00,750.00,118.67,2017-03-01,0,Rött vin,Mjukt & Bärigt,,Flaska,,Lombardiet,Italien,Vino Veritas,Iconic Wines,2016,,13.00%,BS,Övrigt sortiment,1,0,0,Barbera.,NA,NA
7925301,1192139,79253,Alice Bardot,Brut Rosé,249.00,750.00,332.00,2017-03-01,0,Mousserande vin,Rosé,,Flaska,Natur,Champagne,Frankrike,Champagne CVCA,Iconic Wines,,,12.00%,BS,Övrigt sortiment,0,0,0,Pinot noir och chardonnay.,NA,NA
7948001,1192142,79480,La Villaudiere,Sauvignon Blanc,99.00,750.00,132.00,2017-03-01,0,Vitt vin,Friskt & Fruktigt,,Flaska,,Loiredalen,Frankrike,SARL La Villaudiere,Winepartners Nordic AB,2016,,12.50%,BS,Övrigt sortiment,0,0,0,Sauvignon blanc.,NA,NA
3157703,1192166,31577,Hallon Berliner,,29.90,330.00,90.61,2017-04-03,0,Öl,Syrlig öl,Berliner weisse,Flaska,,Örebro län,Sverige,Örebro Brygghus,Örebro Brygghus i Nerike AB,,,3.90%,TSLS,Lokalt och småskaligt,0,0,0,Korn- och vetemalt samt hallonpuré.,NA,NA
3157801,1192231,31578,Ängöl Ljuva Livets,,29.90,500.00,59.80,2017-04-03,0,Öl,Ale brittisk-amerikansk stil,Extra special bitter,Flaska,,Kalmar län,Sverige,Ängöl AB,Ängöl AB,,,5.80%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
7736701,1192278,77367,Contraste,Tinto,149.00,750.00,198.67,2017-03-01,0,Rött vin,,,Flaska,,Douro,Portugal,Conceito Vinhos Lda,AB Wicked Wine Sweden,2014,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7731301,1192329,77313,La Marca,Prosecco Blue Label,99.00,750.00,132.00,2017-03-01,0,Mousserande vin,Vitt Torrt,,Flaska,,Venetien,Italien,La Marca Harman House,Spendrups Bryggeri AB,,,11.00%,BS,Övrigt sortiment,0,0,0,Glera.,NA,NA
7164301,1192463,71643,APPELLO Aperitif,by Carolina Gynning,101.00,750.00,134.67,2017-03-01,0,Fruktvin,Sött,,Flaska,Skruvkapsyl,,Sverige,Gynning Wine,Kämpinge Trading AB,,,15.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3157903,1192494,31579,Åkersberga Bryggeri,Båtstorp New World Pale Ale,24.90,330.00,75.46,2017-05-02,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,Stockholms län,Sverige,Åkersberga Bryggeri,Åkersberga Bryggeri AB,,,5.70%,TSLS,Lokalt och småskaligt,0,0,0,Korn- och vetemalt samt humle.,NA,NA
7637101,1192504,76371,Sprezzatura,Montepulciano d'Abruzzo,109.00,750.00,145.33,2017-03-01,0,Rött vin,,,Flaska,,Abruzzerna,Italien,Marramiero,Intermondi AB,2015,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7858302,1192695,78583,Forster Ungeheuer,Riesling Beerenauslese,596.00,375.00,1589.33,2017-03-01,0,Vitt vin,Sött,,Flaska,,Pfalz,Tyskland,Von Winning,Intermondi AB,2011,,6.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7979702,1192726,79797,Deidesheimer Kalkofen,Riesling Beerenauslese,596.00,375.00,1589.33,2017-03-01,0,Vitt vin,Sött,,Flaska,,Pfalz,Tyskland,Von Winning,Intermondi AB,2011,,5.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7979901,1192729,79799,Sprezzatura,Trebbiano d'Abruzzo,109.00,750.00,145.33,2017-03-01,0,Vitt vin,,,Flaska,,Abruzzerna,Italien,Marramiero,Intermondi AB,2016,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7903301,1192837,79033,Forster Ungeheuer,Auslese,549.00,750.00,732.00,2017-03-01,0,Vitt vin,Sött,,Flaska,,Pfalz,Tyskland,Von Winning,Intermondi AB,2013,,11.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3158103,1192840,31581,Barlingbo Bryggeri,Ladingen,26.90,330.00,81.52,2017-04-03,0,Öl,Veteöl,,Flaska,,Gotlands län,Sverige,Barlingbo Bryggeri,Barlingbo Bryggeri AB,,,6.50%,TSLS,Lokalt och småskaligt,1,0,0,NA,NA,NA
8965603,1192846,89656,Lagunitas,Aunt Sally,27.90,355.00,78.59,2017-03-01,0,Öl,Syrlig öl,,Flaska,,,USA,Lagunitas Brewing Company,Galatea AB,,,5.70%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8944601,1192910,89446,New Belgium,Transatlantique Kriek,135.00,650.00,207.69,2017-03-01,0,Öl,Syrlig öl,Lambic - frukt och bär,Flaska,,,USA,New Belgium Brewing Co.,Galatea AB,2016,,7.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7846301,1192972,78463,Vigneto Runcata,Soave Superiore,189.00,750.00,252.00,2017-03-01,0,Vitt vin,,,Flaska,,Venetien,Italien,Dal Cero,Tryffelsvinet AB,2015,,13.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7886401,1192981,78864,Chablis Grand Cru Les Blanchots,Domaine Laroche Réserve de l'Obédience,870.00,750.00,1160.00,2017-03-01,0,Vitt vin,,,Flaska,,Bourgogne,Frankrike,Laroche,Spendrups Bryggeri AB,2012,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7870801,1192987,78708,Ricossa,Bianco Appassimento,72.00,750.00,96.00,2017-03-01,0,Vitt vin,,,Flaska,,Piemonte,Italien,Ricossa SRL,Mondo Wine Sweden AB,2015,,12.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
432501,1192993,4325,Ricossa,Moscato,69.00,750.00,92.00,2017-06-01,0,Vitt vin,Sött,,Flaska,Skruvkapsyl,Piemonte,Italien,Cuvage Srl,Mondo Wine Sweden AB,2017,,7.00%,FS,Ordinarie sortiment,0,0,0,Moscato.,NA,NA
159403,1193,1594,Lapin Kulta,,12.80,330.00,38.79,1992-11-18,0,Öl,Ljus lager,Internationell stil,Flaska,,,Finland,Scottish&Newcastle,Arvid Nordquist Vin och Sprithandel,,,5.20%,BS,Övrigt sortiment,0,0,0,Kornmalt och humle.,NA,NA
7740301,1193048,77403,Desbordes-Amiaud,Premier Cru,645.00,750.00,860.00,2017-03-07,0,Mousserande vin,Vitt Torrt,,Flaska,Natur,Champagne,Frankrike,Elodie D.,Spruce Up AB,1998,,12.00%,FS,Ordinarie sortiment,0,0,0,NA,NA,NA
3158303,1193051,31583,Klackabacken,Dubbel IPA,29.40,330.00,89.09,2018-03-01,0,Öl,Ale brittisk-amerikansk stil,Imperial/Dubbel IPA,Flaska,,Skåne län,Sverige,Klackabackens Bryggeri,Klackabackens bryggeri AB,,,8.20%,TSLS,Lokalt och småskaligt,0,0,0,Korn- och vetemalt samt humle.,NA,NA
230701,1193141,2307,Rosso di Valtellina,Satiro,98.00,750.00,130.67,2017-06-01,0,Rött vin,,,Flaska,,Lombardiet,Italien,Pietro Nera,Utsökt Mat i Göteborg AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8926401,1193151,89264,Shepherd Neame,1698,29.90,500.00,59.80,2017-03-01,0,Öl,Ale brittisk-amerikansk stil,Strong ale,Flaska,,,Storbritannien,Shepherd Neame,Galatea AB,,,6.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7692201,1193154,76922,Domaine des Baumard,Clos du Papillon,299.00,750.00,398.67,2017-03-01,0,Vitt vin,,,Flaska,,Loiredalen,Frankrike,Domaine des Baumard,Theis Vine AB,2010,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7003601,1193157,70036,Domaine des Baumard,Savennieres Trie Speciale,499.00,750.00,665.33,2017-03-01,0,Vitt vin,,,Flaska,,Loiredalen,Frankrike,Domaine des Baumard,Theis Vine AB,2010,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7294001,1193160,72940,Domaines des Baumard,Clos de la Folie,189.00,750.00,252.00,2017-03-01,0,Rött vin,,,Flaska,,Loiredalen,Frankrike,Domaine des Baumard,Theis Vine AB,2015,,12.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7419601,1193166,74196,Raimonda,,189.00,750.00,252.00,2017-03-01,0,Rött vin,,,Flaska,Naturkork,Penedès,Spanien,Bodega Torelló Llopart SA,Lancel AB,2013,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7361101,1193175,73611,Domaine des Baumard,Quarts de Chaume,659.00,750.00,878.67,2017-03-01,0,Vitt vin,Sött,,Flaska,,Loiredalen,Frankrike,Domaine des Baumard,Theis Vine AB,2010,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3158503,1193206,31585,Klackabacken,Summer Ale,24.60,330.00,74.55,2018-05-02,0,Öl,Ale brittisk-amerikansk stil,Session IPA,Flaska,,Skåne län,Sverige,Klackabackens Bryggeri,Klackabackens bryggeri AB,,,4.60%,TSLS,Lokalt och småskaligt,0,0,0,Korn- och vetemalt samt humle.,NA,NA
230301,1193226,2303,Il Sasso,Piaggia,219.00,750.00,292.00,2017-06-01,0,Rött vin,,,Flaska,,Toscana,Italien,Piaggia,Vinunic AB,2014,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
402301,1193277,4023,Cassiopea,Bolgheri Rosato,99.00,750.00,132.00,2017-06-01,0,Rosévin,Fruktigt & Smakrikt,,Flaska,Natur,Toscana,Italien,Poggio al Tesoro,Mondo Wine Sweden AB,2016,,13.00%,BS,Övrigt sortiment,0,0,0,Merlot och cabernet franc.,NA,NA
7671001,1193304,76710,Domaine des Baumard,Cuvée Ancienne,379.00,750.00,505.33,2017-03-01,0,Vitt vin,Sött,,Flaska,,Loiredalen,Frankrike,Domaine des Baumard,Theis Vine AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7333401,1193321,73334,Elodie D Rosé Premier Cru Brut,Rosé Premier Cru Brut,340.00,750.00,453.33,2017-03-07,0,Mousserande vin,Rosé,,Flaska,,Champagne,Frankrike,Elodie D.,Spruce Up AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8269903,1193331,82699,BjörnBärs,,14.90,330.00,45.15,2017-03-01,0,Öl,Ljus lager,,Flaska,,,Sverige,BjörnBärs AB,Björnbärs AB,,,5.20%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7921801,1193334,79218,Château La Pervenche,,152.00,750.00,202.67,2017-03-01,0,Rött vin,,,Flaska,,Bordeaux,Frankrike,Sovex Woltner,Tryffelsvinet AB,2016,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7987801,1193358,79878,Elodie D,Tradition Brut,310.00,750.00,413.33,2017-03-07,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Elodie D.,Spruce Up AB,,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7594302,1193413,75943,Domaine des Baumard,Le Petit Paon,209.00,500.00,418.00,2017-03-01,0,Vitt vin,Sött,,Flaska,,,Frankrike,Domaine des Baumard,Theis Vine AB,,,11.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7804901,1193416,78049,Crozes Hermitage,Domaines de Remizieres,199.00,750.00,265.33,2017-03-01,0,Rött vin,,,Flaska,,Rhonedalen,Frankrike,Domaine des Remizières,Theis Vine AB,2015,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3159003,1193422,31590,Brekeriet Sour & Salt,,29.90,330.00,90.61,2017-04-03,0,Öl,Syrlig öl,Gose och lichtenhainer,Flaska,,Skåne län,Sverige,Brekeriet Beer AB,Brill & Co AB,,,4.60%,TSLS,Lokalt och småskaligt,1,0,0,"Vete- och rågmalt, salt och koriander.",NA,NA
3159403,1193440,31594,Frölunda,IPA,22.90,330.00,69.39,2017-04-03,0,Öl,Ale brittisk-amerikansk stil,Engelsk pale ale och bitter,Flaska,,Västra Götalands län,Sverige,Göteborgs Nya Bryggeri AB,Göteborgs Nya Bryggeri AB,,,5.60%,TSLS,Lokalt och småskaligt,1,0,0,NA,NA,NA
7814301,1193443,78143,Crozes Hermitage,Cuvée Particulière,219.00,750.00,292.00,2017-03-01,0,Vitt vin,,,Flaska,,Rhonedalen,Frankrike,Domaine des Remizières,Theis Vine AB,2015,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3041403,1193449,30414,Nils Oscar,Everyday Pils,19.90,330.00,60.30,2017-04-03,0,Öl,Ljus lager,Pilsner - tysk stil,Flaska,,Södermanlands län,Sverige,Nils Oscar AB,Nils Oscar AB,,,4.20%,TSLS,Lokalt och småskaligt,1,0,0,Kornmalt och humle.,NA,NA
3159603,1193452,31596,Wessinge Brygghus APA,,22.90,330.00,69.39,2017-04-03,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,Hallands län,Sverige,Wessingekälla Brygghus,Wessingekälla Brygghus AB,,,5.20%,TSLS,Lokalt och småskaligt,0,0,0,NA,NA,NA
3159803,1193464,31598,Dugges,Avenyn Ale,23.00,330.00,69.70,2017-04-03,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,Västra Götalands län,Sverige,Dugges Bryggeri AB,Dugges Bryggeri AB,,,5.00%,TSLS,Lokalt och småskaligt,0,0,0,"Kornmalt samt humle av sorterna cascade, chinook, centennial, citra och simcoe.",NA,NA
7975501,1193639,79755,Hechicero,,175.00,750.00,233.33,2017-03-01,0,Rött vin,,,Flaska,,Manchuela,Spanien,Iniesta,Göteborgs Vinhandelshus AB,2013,,15.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3160103,1193670,31601,Dykes Brewery,India Pale Ale,29.90,330.00,90.61,2017-04-03,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Flaska,,Västernorrlands län,Sverige,Dykes Brewery,Dykes Brewery AB,,,5.80%,TSLS,Lokalt och småskaligt,0,0,0,NA,NA,NA
7845001,1193753,78450,La Caleche,Vin Blanc Sec,139.00,750.00,185.33,2017-03-01,0,Vitt vin,,,Flaska,,,Frankrike,Domaine des Baumard,Theis Vine AB,2015,,11.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3160203,1193833,31602,Grästorps,Trädgårds Öl,28.50,330.00,86.36,2017-05-02,0,Öl,Ale brittisk-amerikansk stil,,Flaska,,Västra Götalands län,Sverige,Grästorps Bryggeri,Grästorps Bryggeri AB,,,5.20%,TSLS,Lokalt och småskaligt,0,0,0,"Kornmalt, humle och fläder.",NA,NA
