nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,Koscher,RavarorBeskrivning,Pant,EtisktEtikett
101,1,1,Renat,,204.00,700.00,291.43,1993-10-01,0,Vodka och Brännvin,Vodka,,Flaska,,,Sverige,Pernod Ricard,Pernod Ricard Sweden AB,,,37.50%,FS,Ordinarie sortiment,0,0,0,Säd.,NA,NA
7548901,1000008,75489,Valtellina Superiore,Sassella Riserva,339.00,750.00,452.00,2015-09-01,0,Rött vin,,,Flaska,,Lombardiet,Italien,Arpepe,Vinoliv Import AB,2011,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7774701,1000080,77747,Canella,Valdobbiadene Prosecco Superiore Extra Dry,147.00,750.00,196.00,2015-09-01,0,Mousserande vin,Vitt Torrt,,Flaska,,Venetien,Italien,Canella SpA,Fine Brands Sweden AB,2014,,11.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7563901,1000083,75639,Viña Soledad,Tête de Cuvée Reserva,159.00,750.00,212.00,2015-09-01,0,Vitt vin,Fylligt & Smakrikt,,Flaska,Natur,Rioja,Spanien,Bodegas Franco-Españolas,Terrific Wines AB,2006,,12.00%,BS,Övrigt sortiment,0,0,0,Viura.,NA,NA
7521801,1000131,75218,Purcari,Freedom Blend,181.00,750.00,241.33,2015-09-01,0,Rött vin,,,Flaska,,,Moldavien,Purcari,High Coast Wine AB,2015,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8936603,1000155,89366,Midas Golden Pilsner,,26.70,330.00,80.91,2015-09-01,0,Öl,Ljus lager,Modern stil,Flaska,,,Sverige,Imperiebryggeriet AB,Imperiebryggeriet  AB,,,4.90%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8780501,1000369,87805,Josés,Tequila Blanco,372.00,700.00,531.43,2015-09-01,0,Tequila och Mezcal,Tequila,,Flaska,,,Mexiko,Tierra de Agaves,Fine Brands Sweden AB,,,40.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8587801,1000372,85878,Fighting Cock,Kentucky Straight Bourbon,574.00,1000.00,574.00,2015-09-01,0,Whisky,Annan whisky,,Flaska,,Kentucky,USA,Heaven Hill Distilleries,Fine Brands Sweden AB,,,51.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8797501,1000416,87975,Cognac Leyrat,Fine VS,431.00,700.00,615.71,2015-09-01,0,Cognac,,,Flaska,,Cognac,Frankrike,Domaine de chez maillard,Fine Brands Sweden AB,,,40.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8983803,1000432,89838,Schlappeseppel Specialität,,27.10,330.00,82.12,2015-09-01,0,Öl,Mellanmörk lager,Märzen och wienerstil,Flaska,Bygelkork,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.60%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8996703,1000435,89967,Schlappeseppel,Dunkel,21.10,330.00,63.94,2015-09-01,0,Öl,Mörk lager,Dunkel,Flaska,Kapsyl,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.20%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8998601,1000438,89986,Schlappeseppel,Hefe Weissbier,25.20,500.00,50.40,2015-09-01,0,Öl,Veteöl,Hefeweizen,Flaska,Kapsyl,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8993603,1000441,89936,Schlappeseppel,Pils,20.10,330.00,60.91,2015-09-01,0,Öl,Ljus lager,Pilsner - tysk stil,Flaska,Kapsyl,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.10%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8962103,1000444,89621,Schlappeseppel,Kellerbier,21.10,330.00,63.94,2015-09-01,0,Öl,Ljus lager,Zwickel / keller- och landbier,Flaska,Kapsyl,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8973001,1000454,89730,Valmiermuiza,Alus,32.10,500.00,64.20,2015-09-01,0,Öl,Mellanmörk lager,Märzen och wienerstil,Flaska,,,Lettland,Valmiermuiza,CCS AB,,,5.20%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7154001,1000923,71540,Château de Cazeneuve,Le Roc des Mates,270.00,750.00,360.00,2015-10-01,0,Rött vin,,,Flaska,,Languedoc-Roussillon,Frankrike,Château de Cazeneuve,Sybaris - Wine & Spirits AB,2011,,14.50%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
7102401,1000940,71024,Château de Cazeneuve,Les Calcaires,221.00,750.00,294.67,2015-10-01,0,Rött vin,,,Flaska,,Languedoc-Roussillon,Frankrike,Château de Cazeneuve,Sybaris - Wine & Spirits AB,2013,,13.50%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
3063803,1001025,30638,Kråkudden,Ljus Lager,26.20,330.00,79.39,2015-10-01,0,Öl,Ljus lager,Dortmunder och helles,Flaska,,Stockholms län,Sverige,Roslags Näsby Bryggeri,Aktiebolaget Roslags Näsby Bryggeri,,,5.00%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
3064003,1001233,30640,Halmstad Brygghus,Brogatan Extra Special,22.90,330.00,69.39,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,Extra special bitter,Flaska,,Hallands län,Sverige,Halmstad Brygghus,Halmstad Brygghus AB,,,5.80%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
3064202,1001341,30642,Snälleröds Jungfruns Brännvin,,219.00,500.00,438.00,2015-12-01,0,Akvavit och Kryddat brännvin,Kryddat brännvin,,Flaska,,Skåne län,Sverige,Arcus Sweden AB,Arcus Sweden AB,,,38.00%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
3064703,1001367,30647,This Ale Is India Pale,,27.20,330.00,82.42,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Flaska,,Skåne län,Sverige,Skelderwikens Brygghus AB,Skelderwikens Brygghus AB,,,5.80%,TSLS,Lokalt och småskaligt,0,0,0,"Pale ale- och cara hellmalt samt humle av sorterna cascade, centennial och citra.",NA,NA
3065003,1001500,30650,Halmstad Brygghus,Vallgatan Pale Ale,21.90,330.00,66.36,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,Hallands län,Sverige,Halmstad Brygghus,Halmstad Brygghus AB,,,5.50%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
3065201,1001506,30652,Tyska Eken,Weisse,29.90,500.00,59.80,2015-10-01,0,Öl,Veteöl,Hefeweizen,Flaska,,Hallands län,Sverige,"Tyska Eken, Eks Tyska Bryggeri",Eks Tyska Bryggeri AB,,,5.20%,TSLS,Lokalt och småskaligt,0,0,0,Vete- och kornmalt samt humle.,NA,NA
7280801,1001536,72808,Würzburger Pfaffenberg,Silvaner Trocken,225.00,750.00,300.00,2015-10-01,0,Vitt vin,,,Flaska,,Franken,Tyskland,WG Bürgerspital,Sybaris - Wine & Spirits AB,2014,,12.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3065303,1001539,30653,Tyska Eken Helles,,20.90,330.00,63.33,2015-11-02,0,Öl,Ljus lager,Dortmunder och helles,Flaska,,Hallands län,Sverige,"Tyska Eken, Eks Tyska Bryggeri",Eks Tyska Bryggeri AB,,,4.90%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
7141301,1001549,71413,Würzburger,Silvaner Trocken,185.00,750.00,246.67,2015-10-01,0,Vitt vin,,,Flaska,,Franken,Tyskland,WG Bürgerspital,Sybaris - Wine & Spirits AB,2014,,11.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3065503,1001670,30655,Fjäderholmarnas Monkey Business,American Pale Ale,25.90,330.00,78.49,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,Stockholms län,Sverige,Fjäderholmarnas Bryggeri,Fjäderholmarnas Bryggeri AB,,,5.20%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
3065603,1001687,30656,Fjäderholmarnas Libertas IPA,India Pale Ale,26.90,330.00,81.52,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Flaska,,Stockholms län,Sverige,Fjäderholmarnas Bryggeri,Fjäderholmarnas Bryggeri AB,,,6.00%,TSLS,Lokalt och småskaligt,0,0,0,Kornmalt och humle.,NA,NA
836809,1001902,8368,Gran Barquero Pack,,199.00,1125.00,176.89,2015-12-01,0,Montilla,,,3 flaskor à 375 ml,Skruvkapsyl,Montilla-Moriles,Spanien,Pérez Barquero,We & Wine AB,,,17.70%,BS,Övrigt sortiment,0,0,0,Pedro ximenez.,NA,NA
3066503,1002004,30665,Klaura,,23.70,330.00,71.82,2015-10-01,0,Öl,Mellanmörk lager,Märzen och wienerstil,Flaska,,Blekinge län,Sverige,Restaurang Skeppsgossen,Restaurang Skeppsgossen AB,,,5.10%,TSLS,Lokalt och småskaligt,0,0,0,Karamellmalt samt humle av sorterna tomahawk och cascade.,NA,NA
3066603,1002055,30666,Pilimausan,,20.70,330.00,62.73,2015-10-01,0,Öl,Ljus lager,Pilsner - tjeckisk stil,Flaska,,Blekinge län,Sverige,Restaurang Skeppsgossen,Restaurang Skeppsgossen AB,,,4.90%,TSLS,Lokalt och småskaligt,0,0,0,Pilsnermalt samt humle av sorterna magnum och sladek.,NA,NA
7358001,1002131,73580,Langhe,Arneis Sá Mai,127.00,750.00,169.33,2015-10-01,0,Vitt vin,,,Flaska,,Piemonte,Italien,Az. Agr. Abrigo Giovanni,Larkum HB,2015,,12.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
3066703,1002137,30667,South Plains,Burning Witches Brew,21.80,330.00,66.06,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,Black IPA,Flaska,,Skåne län,Sverige,South Plains Brewing Company,South Plains Brewing Company,,,7.10%,TSLS,Lokalt och småskaligt,0,0,0,"Kornmalt samt humle av sorterna amarillo, simcoe och centennial.",NA,NA
8537504,1002815,85375,Tamdhu,Advance Sample 8 Years,434.00,200.00,2170.00,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Hunter Laing & Company,Clydesdale AB,2006,,50.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8609201,1002939,86092,Glen Keith,Refill Hogshead 18 Years,1290.00,700.00,1842.86,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Hunter Laing & Company,Clydesdale AB,1997,,50.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8491301,1002978,84913,Tormore,Sherry Butt 26 Years,1784.00,700.00,2548.57,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Edition Spirits,Clydesdale AB,1988,,57.10%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8733002,1003072,87330,Rhum Selection,Barbados,555.00,500.00,1110.00,2015-10-01,0,Rom,Mörk rom,,Flaska,,,Barbados,Granqvist Beverage House AB,Granqvist Beverage House AB,,,45.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8797202,1003078,87972,Rhum Selection,Guatemala,555.00,500.00,1110.00,2015-10-01,0,Rom,Mörk rom,,Flaska,,,Guatemala,Granqvist Beverage House AB,Granqvist Beverage House AB,,,45.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8767002,1003081,87670,Rhum Selection,Trinidad,555.00,500.00,1110.00,2015-10-01,0,Rom,Mörk rom,,Flaska,,,Trinidad,Granqvist Beverage House AB,Granqvist Beverage House AB,,,45.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8767202,1003084,87672,Rhum Selection,Paraguay,599.00,500.00,1198.00,2015-10-01,0,Rom,Mörk rom,,Flaska,,,Paraguay,Granqvist Beverage House AB,Granqvist Beverage House AB,,,45.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8767702,1003087,87677,Rhum Selection,Belize,599.00,500.00,1198.00,2015-10-01,0,Rom,Mörk rom,,Flaska,,,Belize,Granqvist Beverage House AB,Granqvist Beverage House AB,,,45.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
9030001,1003356,90300,Sterhuis Astra,White,349.00,750.00,465.33,2015-12-04,0,Vitt vin,,,Flaska,Natur,Western Cape,Sydafrika,Sterhuis,Vinobele AB,2009,,14.00%,TSE,Små partier,0,0,0,"Sauvignon blanc, chenin blanc och chardonnay.",NA,NA
803901,1003765,8039,Croft,10 Year Old Tawny Port,225.00,750.00,300.00,2015-12-01,0,Portvin,Rött,,Flaska,Natur,Porto,Portugal,Croft,Spendrups Bryggeri AB,,,20.00%,FSB,Ordinarie sortiment,0,0,0,"Touriga nacional, touriga francesa, tinto cão, tinta roriz och tinta barroca.",NA,NA
8588208,1003861,85882,Really Big Peat,,3489.00,4500.00,775.33,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Douglas Laing,Philipson Söderberg AB,,,46.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7293001,1004022,72930,Rosso di Valtellina,,253.00,750.00,337.33,2015-09-01,0,Rött vin,,,Flaska,,Lombardiet,Italien,Arpepe,Vinoliv Import AB,2014,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8013001,1004144,80130,Ancho Reyes,,480.00,700.00,685.71,2015-10-01,0,Likör,Kryddlikör,,Flaska,,,Mexiko,Licorera Ancho Reyes,AliasSmith AB,,,40.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7581501,1004340,75815,Arbe Garbe,White,439.00,750.00,585.33,2015-10-01,0,Vitt vin,,,Flaska,Naturkork,Kalifornien,USA,Arbe Garbe,Divine AB,2016,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7249201,1004436,72492,Escada,Touriga Nacional,89.00,750.00,118.67,2015-10-01,0,Rött vin,Fruktigt & Smakrikt,,Flaska,,Lisboa,Portugal,DFJ Vinhos,Prime Wine Sweden AB,2017,,13.00%,FS,Ordinarie sortiment,0,0,0,Touriga nacional.,NA,NA
7289602,1004483,72896,Ruppertsberger,Riesling Auslese,89.00,375.00,237.33,2015-10-01,0,Vitt vin,Sött,,Flaska,,Pfalz,Tyskland,Ruppertsberger Weinkeller Hoheburg eG,Giertz Vinimport AB,2014,,8.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
642008,1004489,6420,Apothic Red,Winemaker's Blend,289.00,3000.00,96.33,2015-10-01,0,Rött vin,Fruktigt & Smakrikt,,Box,Tryckknapp topp,Kalifornien,USA,Apothic Wines,Spendrups Bryggeri AB,2016,,13.50%,FS,Ordinarie sortiment,0,0,0,NA,NA,NA
8773401,1004758,87734,Auchroisk,Selected by Berrys 18 Years,1449.00,700.00,2070.00,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Berry Bros & Rudd,Clydesdale AB,1996,,50.90%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8783401,1004802,87834,Dailuaine,Selected by Berrys 22 Years,1771.00,700.00,2530.00,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Berry Bros & Rudd,Clydesdale AB,1992,,46.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8794201,1004819,87942,North British,Single Grain Selected by Berrys 18 Years,1458.00,700.00,2082.86,2015-10-01,0,Whisky,Grainwhisky,,Flaska,,Skottland,Storbritannien,Berry Bros & Rudd,Clydesdale AB,1996,,56.80%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7765901,1004847,77659,958 Santero,Cuvèe Extra Dry,89.00,750.00,118.67,2015-10-01,0,Mousserande vin,Vitt Torrt,,Flaska,,,Italien,Santero,Obrini Beverage Company AB,,,11.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7496001,1005524,74960,Barbera del Monferrato,Livio Pavese,109.00,750.00,145.33,2015-10-01,0,Rött vin,Fruktigt & Smakrikt,,Flaska,Natur,Piemonte,Italien,Livio Pavese,Chris-Wine AB,2013,,13.50%,FS,Ordinarie sortiment,0,0,0,Barbera.,NA,NA
7369501,1006124,73695,Primus Zitsa,,180.00,750.00,240.00,2015-10-01,0,Vitt vin,,,Flaska,,Epirus,Grekland,Domaine Glinavos,O.Wines and Spirits AB,2013,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7389801,1006133,73898,Red Velvet,,170.00,750.00,226.67,2015-10-01,0,Rött vin,,,Flaska,,,Grekland,Domaine Glinavos,O.Wines and Spirits AB,2013,,12.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7728301,1006138,77283,Debina,,140.00,750.00,186.67,2015-10-01,0,Mousserande vin,,,Flaska,,Epirus,Grekland,Domaine Glinavos,O.Wines and Spirits AB,2016,,12.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7306101,1006148,73061,Allesverloren 1704,,95.00,750.00,126.67,2015-10-01,0,Rött vin,,,Flaska,Skruvkapsyl,Western Cape,Sydafrika,Allesverloren Wine Estate,janake wine group AB,2015,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8559101,1006209,85591,MACK by Mackmyra,,315.00,700.00,450.00,2015-10-01,0,Whisky,Maltwhisky,,Flaska,Plast,,Sverige,Mackmyra Svensk Whisky AB,Mackmyra Svensk Whisky AB,,,40.00%,FS,Ordinarie sortiment,0,0,0,NA,NA,NA
8948703,1006215,89487,Tingvalla,Amarillo,23.90,330.00,72.42,2015-10-01,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,,Sverige,Tingvalla Hantverks AB,Tingvalla Hantverks AB,,,5.20%,BS,Övrigt sortiment,0,0,0,Pale ale- och crystalmalt samt humle av sorterna amrillo och cascade.,NA,NA
556901,1006260,5569,Saint-Aubin Vieilles Vignes,Domaine Roux,239.00,750.00,318.67,2015-12-01,0,Vitt vin,Fylligt & Smakrikt,,Flaska,Natur,Bourgogne,Frankrike,Domaine Roux,Ward Wines AB,2016,,13.00%,FS,Ordinarie sortiment,0,0,0,Chardonnay.,NA,NA
556902,1006280,5569,Saint-Aubin Vieilles Vignes,Domaine Roux,125.00,375.00,333.33,2015-12-01,0,Vitt vin,Fylligt & Smakrikt,,Flaska,Natur,Bourgogne,Frankrike,Domaine Roux,Ward Wines AB,2016,,13.00%,FS,Ordinarie sortiment,0,0,0,Chardonnay.,NA,NA
7043601,1006376,70436,Saint-Aubin La Princée,Domaine Hubert Lamy,329.00,750.00,438.67,2015-10-01,0,Vitt vin,,,Flaska,,Bourgogne,Frankrike,Domaine Hubert Lamy,Tryffelsvinet AB,2016,,13.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7599401,1006380,75994,Los Frailes,Blanc de Trilogía,155.00,750.00,206.67,2015-10-01,0,Vitt vin,,,Flaska,,Valencia,Spanien,Finca Los Frailes,Johan Lidby Vinhandel AB,2016,,13.50%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
7070701,1006383,70707,Korlat,Cabernet Sauvignon,222.00,750.00,296.00,2015-10-01,0,Rött vin,,,Flaska,,Dalmatinska zagora,Kroatien,Badel 1862,Triggollo Wine & Spirits AB,2010,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7013901,1006386,70139,Korlat,Syrah,222.00,750.00,296.00,2015-10-01,0,Rött vin,,,Flaska,,Dalmatinska zagora,Kroatien,Badel 1862,Triggollo Wine & Spirits AB,2011,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7123901,1006389,71239,Ivan Dolac,Plavac Mali,237.00,750.00,316.00,2015-10-01,0,Rött vin,,,Flaska,,Srednja i juzna dalmacija,Kroatien,Badel 1862,Triggollo Wine & Spirits AB,2009,,14.00%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
7133501,1006392,71335,Mediterano,Plavac Mali,182.00,750.00,242.67,2015-10-01,0,Rött vin,,,Flaska,,Srednja i juzna dalmacija,Kroatien,Badel 1862,Triggollo Wine & Spirits AB,2011,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7149901,1006434,71499,Ivan Dolac,Barrique Plavac Mali,249.00,750.00,332.00,2015-10-01,0,Rött vin,,,Flaska,,Srednja i juzna dalmacija,Kroatien,Badel 1862,Triggollo Wine & Spirits AB,2009,,14.00%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
7499101,1006437,74991,Los Frailes,Monastrell,119.00,750.00,158.67,2015-10-01,0,Rött vin,,,Flaska,,Valencia,Spanien,Casa Los Frailes,Johan Lidby Vinhandel AB,2016,,13.50%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
8283101,10066,82831,Domaine Saint Gayan,Gigondas,216.00,750.00,288.00,1996-03-01,0,Rött vin,,,Flaska,,Rhonedalen,Frankrike,Domaine Saint Gayan,Carovin AB,2013,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8564201,1006788,85642,Inchgower,Maltbarn Bourbon Cask 24 Years,1782.00,700.00,2545.71,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Maltbarn,Clydesdale AB,1990,,51.40%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8634001,1006804,86340,Glen Keith,Chapter 7 Bourbon Hogshead 17 Years,1172.00,700.00,1674.29,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Chapter 7,Clydesdale AB,1997,,53.40%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8624601,1007201,86246,Glenrothes,Chapter 7 Bourbon Hogshead 17 Years,1586.00,700.00,2265.71,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Chapter 7,Clydesdale AB,1997,,54.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8625701,1007214,86257,Chapter 7,Peatside Port Finish 6 Years,973.00,700.00,1390.00,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Chapter 7,Clydesdale AB,2009,,46.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8629901,1007224,86299,Braes of Glenlivet,Chapter 7 Bourbon Barrel 20 Years,1685.00,700.00,2407.14,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,Skottland,Storbritannien,Chapter 7,Clydesdale AB,1994,,50.40%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7522001,1007307,75220,José Pariente,Cuvée Especial,289.00,750.00,385.33,2015-10-01,0,Vitt vin,,,Flaska,Naturkork,Rueda,Spanien,José Pariente,Lancel AB,2013,,13.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7522501,1007480,75225,Chateau Ste Michelle,Riesling,119.00,750.00,158.67,2015-10-01,0,Vitt vin,,,Flaska,Skruvkapsyl,Washington State,USA,Chateau Ste Michelle,Vinunic AB,2016,,12.00%,BS,Övrigt sortiment,0,0,0,Riesling.,NA,NA
7599801,1007535,75998,Cigarra Gran Passo,Touriga Nacional Cabernet Sauvignon,89.00,750.00,118.67,2015-10-01,0,Rött vin,Fruktigt & Smakrikt,,Flaska,Skruvkapsyl,Lisboa,Portugal,Casa Santos Lima,Giertz Vinimport AB,2016,,14.00%,FS,Ordinarie sortiment,0,0,0,Touriga nacional och cabernet sauvignon.,NA,NA
551401,1007578,5514,Sancerre Les Roches,Domaine Vacheron,219.00,750.00,292.00,2015-12-01,0,Vitt vin,Friskt & Fruktigt,,Flaska,Naturkork,Loiredalen,Frankrike,Domaine Vacheron,The WineAgency Sweden AB,2017,,12.50%,FS,Ordinarie sortiment,1,0,0,Sauvignon blanc.,NA,NA
8719601,1007628,87196,Motörhead,Whisky,666.00,700.00,951.43,2015-10-01,0,Whisky,Maltwhisky,,Flaska,,,Sverige,Mackmyra Svensk Whisky AB,Brands For Fans Sweden AB,,,40.00%,FS,Ordinarie sortiment,0,0,0,Kornmalt.,NA,NA
7338101,1007644,73381,Côtes Du Rhône Villages,Terre d'Argile,181.00,750.00,241.33,2015-10-01,0,Rött vin,,,Flaska,Naturkork,Rhonedalen,Frankrike,Domaine de la Janasse,Bristly Wine Agents AB,2014,,14.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8213201,1007677,82132,Bloom,Premium London Dry Gin,449.00,700.00,641.43,2015-10-01,0,Gin och Genever,Gin,,Flaska,,,Storbritannien,G&J Distillers,Hermansson & Co AB,,,40.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7338501,1007768,73385,Cerrogallina,Bobal,239.00,750.00,318.67,2015-10-01,0,Rött vin,,,Flaska,,Utiel-Requena,Spanien,Cerrogallina,Göteborgs Vinhandelshus AB,2014,,14.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7289701,1007844,72897,Poggio Scalette,Chianti Classico,210.00,750.00,280.00,2015-10-01,0,Rött vin,,,Flaska,,Toscana,Italien,Podere Poggio Scalette,Theis Vine AB,2013,,13.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7317001,1007847,73170,Canua,Sforzato Di Valtellina,413.00,750.00,550.67,2015-10-01,0,Rött vin,,,Flaska,,Lombardiet,Italien,Conti Sertoli Salis,Skrubbes Wines AB,2009,,15.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
8011601,1007954,80116,Opihr,Oriental Spiced Gin,449.00,700.00,641.43,2015-10-01,0,Gin och Genever,Gin,,Flaska,,,Storbritannien,G&J Distillers,Hermansson & Co AB,,,42.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7299301,1007984,72993,Domaine Bott-Geyl,Points Cardineaux Métiss,179.00,750.00,238.67,2015-10-01,0,Vitt vin,,,Flaska,,Alsace,Frankrike,Domaine Bott-Geyl,Divine AB,2016,,12.50%,BS,Övrigt sortiment,1,0,0,NA,NA,NA
7145301,1007987,71453,Borgogno,Barolo Cannubi,759.00,750.00,1012.00,2015-10-01,0,Rött vin,,,Flaska,,Piemonte,Italien,Giacomo Borgogno,The WineAgency Sweden AB,2011,,15.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7768001,1007995,77680,Brimoncourt,Extra Brut,520.00,750.00,693.33,2015-10-01,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Brimoncourt,Skrubbes Wines AB,,,12.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7140001,1008004,71400,Medolago Albani,Valcalepio Rosso Cabernet Sauvignon Merlot,131.00,750.00,174.67,2015-10-01,0,Rött vin,,,Flaska,Naturkork,Lombardiet,Italien,Medolago Albani,Enrico Sverige AB,2014,,13.00%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7080801,1008008,70808,Pineto,Brachetto D'Acqui,180.00,750.00,240.00,2015-10-01,0,Rött vin,Sött,,Flaska,,Piemonte,Italien,Casa Vinicola Marenco,Enrico Sverige AB,2014,,5.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
7775801,1008017,77758,Frassinelli,Valdobbiadene Prosecco Superiore Millesimato,151.00,750.00,201.33,2015-10-01,0,Mousserande vin,Vitt Torrt,,Flaska,Naturkork,Venetien,Italien,Azienda Agricola Frassinelli,Enrico Sverige AB,2014,,11.50%,BS,Övrigt sortiment,0,0,0,NA,NA,NA
