"Medelfolkmängd (efter födelseår) efter region, ålder, kön och år"

"region","ålder","kön","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"0980 Gotland","totalt ålder","kvinnor",29094.5,28941.0,28825.0,28830.0,28890.5,28897.0,28893.0,28827.5,28786.5,28818.0,28964.5
"1060 Olofström","totalt ålder","män",6760.0,6708.5,6641.5,6617.5,6597.0,6551.0,6535.5,6554.5,6604.0,6698.0,6820.5
"1060 Olofström","totalt ålder","kvinnor",6613.0,6568.0,6541.0,6517.0,6448.0,6381.0,6350.5,6344.5,6362.5,6402.5,6473.0
"1080 Karlskrona","totalt ålder","män",30839.5,31217.0,31582.0,31939.5,32385.5,32713.0,32620.0,32470.0,32627.5,33093.0,33711.0
"1080 Karlskrona","totalt ålder","kvinnor",30774.0,30874.0,30989.0,31133.5,31301.5,31410.5,31333.0,31331.5,31502.5,31771.0,32110.0
"1081 Ronneby","totalt ålder","män",14540.5,14607.0,14639.5,14642.0,14584.5,14393.5,14203.0,14161.5,14234.5,14456.0,14737.0
"1081 Ronneby","totalt ålder","kvinnor",13860.0,13860.0,13850.5,13810.5,13750.5,13688.5,13646.0,13668.0,13811.5,14003.0,14215.0
"1082 Karlshamn","totalt ålder","män",15625.5,15617.5,15547.0,15518.0,15551.0,15614.0,15631.0,15664.0,15791.5,15957.0,16112.5
"1082 Karlshamn","totalt ålder","kvinnor",15467.0,15498.0,15458.5,15420.5,15479.5,15550.0,15527.5,15538.0,15643.5,15765.0,15875.5
"1083 Sölvesborg","totalt ålder","män",8305.5,8386.5,8460.0,8486.0,8495.0,8485.0,8479.0,8480.0,8518.0,8614.5,8738.0
"1083 Sölvesborg","totalt ålder","kvinnor",8281.0,8331.5,8370.5,8340.5,8316.5,8316.5,8321.5,8324.0,8361.5,8445.0,8560.5
"1214 Svalöv","totalt ålder","män",6677.0,6723.0,6766.5,6795.5,6803.0,6812.5,6843.0,6881.0,6949.0,7055.0,7207.0
"1214 Svalöv","totalt ålder","kvinnor",6356.5,6376.0,6397.0,6441.5,6463.0,6433.5,6419.5,6422.5,6447.0,6502.5,6580.0
"1230 Staffanstorp","totalt ålder","män",10311.0,10459.5,10672.5,10826.5,10960.5,11054.5,11117.5,11191.0,11294.0,11392.5,11539.5
"1230 Staffanstorp","totalt ålder","kvinnor",10410.0,10564.5,10765.0,10981.5,11143.5,11223.0,11297.5,11412.0,11539.0,11664.0,11820.0
"1231 Burlöv","totalt ålder","män",7679.0,7880.0,8053.5,8201.5,8328.0,8403.0,8477.5,8560.0,8624.0,8697.0,8809.5
"1231 Burlöv","totalt ålder","kvinnor",7812.0,7927.0,8037.5,8168.0,8277.0,8369.0,8449.5,8502.5,8538.5,8623.5,8728.5
"1233 Vellinge","totalt ålder","män",15818.0,16030.5,16166.5,16350.0,16510.5,16579.0,16618.0,16661.5,16746.5,16975.0,17318.0
"1233 Vellinge","totalt ålder","kvinnor",16178.0,16387.0,16537.5,16652.5,16722.0,16827.5,16944.5,17049.5,17212.0,17413.5,17644.0
"1256 Östra Göinge","totalt ålder","män",7043.0,6997.5,6943.0,6877.0,6891.5,6926.0,6940.5,6954.5,7016.5,7166.5,7359.0
"1256 Östra Göinge","totalt ålder","kvinnor",6895.5,6859.5,6802.0,6717.0,6666.5,6670.5,6671.0,6699.0,6759.0,6816.5,6895.0
"1257 Örkelljunga","totalt ålder","män",4835.0,4833.5,4850.5,4862.0,4874.0,4876.0,4886.5,4889.0,4913.0,4975.5,5065.0
"1257 Örkelljunga","totalt ålder","kvinnor",4706.0,4719.5,4734.0,4753.5,4761.0,4771.0,4772.5,4765.0,4780.0,4806.5,4829.5
"1260 Bjuv","totalt ålder","män",7106.5,7219.0,7318.0,7409.0,7473.0,7475.5,7471.5,7465.0,7487.0,7569.0,7684.0
"1260 Bjuv","totalt ålder","kvinnor",6996.5,7115.5,7223.5,7304.0,7354.0,7370.5,7387.0,7368.5,7360.5,7359.0,7398.0
"1261 Kävlinge","totalt ålder","män",13565.5,13817.5,14032.5,14259.5,14440.5,14607.0,14704.0,14771.5,14865.5,14986.0,15196.5
"1261 Kävlinge","totalt ålder","kvinnor",13471.0,13740.0,13968.0,14187.0,14385.0,14530.0,14640.0,14742.0,14838.5,14970.0,15121.5
"1262 Lomma","totalt ålder","män",9457.0,9779.5,10039.0,10269.5,10524.0,10777.0,10991.5,11127.0,11302.0,11528.0,11782.0
"1262 Lomma","totalt ålder","kvinnor",9687.0,9949.0,10197.0,10487.5,10788.0,11011.0,11166.0,11270.0,11419.0,11607.0,11823.5
"1263 Svedala","totalt ålder","män",9450.5,9558.5,9659.5,9772.0,9877.5,9921.5,9955.0,10029.0,10099.0,10207.5,10371.0
"1263 Svedala","totalt ålder","kvinnor",9401.5,9510.0,9610.0,9735.5,9846.0,9892.0,9933.0,9990.0,10058.5,10147.5,10245.5
"1264 Skurup","totalt ålder","män",7281.5,7369.5,7395.0,7409.0,7449.5,7466.5,7468.5,7488.5,7538.0,7574.5,7645.0
"1264 Skurup","totalt ålder","kvinnor",7277.5,7376.0,7391.0,7416.5,7474.5,7497.0,7482.0,7501.5,7558.0,7583.5,7633.5
"1265 Sjöbo","totalt ålder","män",8931.5,9063.0,9156.5,9206.5,9206.5,9188.0,9261.5,9356.0,9382.5,9417.5,9509.5
"1265 Sjöbo","totalt ålder","kvinnor",8679.5,8805.0,8897.5,8916.5,8926.0,8939.5,8955.0,8989.5,9025.5,9047.0,9118.5
"1266 Hörby","totalt ålder","män",7220.5,7298.5,7353.5,7405.0,7423.0,7450.0,7475.5,7476.5,7469.0,7502.0,7609.5
"1266 Hörby","totalt ålder","kvinnor",7186.5,7263.5,7317.0,7354.5,7378.0,7420.5,7454.0,7461.0,7453.0,7471.5,7542.0
"1267 Höör","totalt ålder","män",7319.0,7411.5,7487.0,7579.5,7685.5,7733.5,7738.0,7766.5,7821.0,7919.5,8058.0
"1267 Höör","totalt ålder","kvinnor",7371.5,7439.0,7494.5,7570.5,7675.0,7742.5,7771.0,7815.0,7882.5,7950.5,8023.0
"1270 Tomelilla","totalt ålder","män",6342.5,6352.5,6383.0,6445.0,6476.5,6477.5,6495.0,6494.5,6509.0,6575.5,6674.5
"1270 Tomelilla","totalt ålder","kvinnor",6358.0,6393.0,6411.0,6431.0,6448.5,6444.5,6428.5,6409.5,6440.0,6494.0,6556.5
"1272 Bromölla","totalt ålder","män",6085.5,6098.0,6120.0,6146.0,6149.5,6168.5,6178.0,6185.5,6228.5,6295.0,6389.5
"1272 Bromölla","totalt ålder","kvinnor",6036.0,6065.0,6070.5,6096.5,6129.0,6150.5,6130.0,6107.5,6139.5,6161.5,6179.5
"1273 Osby","totalt ålder","män",6327.5,6336.5,6340.0,6331.0,6338.5,6355.5,6345.0,6357.0,6410.0,6484.5,6579.5
"1273 Osby","totalt ålder","kvinnor",6289.5,6292.0,6295.5,6321.0,6351.5,6356.0,6323.0,6318.0,6360.5,6406.5,6472.0
"1275 Perstorp","totalt ålder","män",3474.5,3498.0,3532.0,3558.5,3591.5,3642.0,3651.0,3659.0,3693.0,3713.0,3752.5
"1275 Perstorp","totalt ålder","kvinnor",3417.5,3416.0,3419.0,3419.0,3430.5,3468.0,3476.5,3458.5,3463.5,3479.5,3522.0
"1276 Klippan","totalt ålder","män",8100.0,8151.5,8215.0,8245.5,8304.5,8382.0,8428.0,8449.0,8473.5,8545.0,8695.5
"1276 Klippan","totalt ålder","kvinnor",7977.0,8028.5,8080.0,8113.5,8144.0,8176.0,8202.5,8238.5,8250.5,8280.0,8372.5
"1277 Åstorp","totalt ålder","män",6907.0,7092.5,7259.5,7381.5,7449.0,7494.0,7518.5,7537.0,7602.5,7690.0,7838.5
"1277 Åstorp","totalt ålder","kvinnor",6806.0,6966.5,7123.5,7218.5,7253.0,7269.0,7279.0,7329.5,7391.5,7437.0,7522.0
"1278 Båstad","totalt ålder","män",6955.5,6995.5,6999.0,7025.5,7067.5,7052.5,7035.0,7046.5,7090.5,7137.5,7226.0
"1278 Båstad","totalt ålder","kvinnor",7151.5,7210.5,7223.5,7210.5,7206.0,7201.5,7211.5,7222.5,7256.5,7258.5,7267.5
"1280 Malmö","totalt ålder","män",133202.5,135997.0,138893.5,142275.5,145441.0,147661.0,149794.0,152363.5,155156.5,157778.5,160569.5
"1280 Malmö","totalt ålder","kvinnor",140555.0,142525.5,144774.5,147946.5,150995.0,153238.0,155502.5,158012.5,160394.0,162562.0,164964.5
"1281 Lund","totalt ålder","män",50782.5,51655.0,52766.0,53874.5,54742.5,55331.5,55884.5,56558.0,57294.0,57874.0,58512.0
"1281 Lund","totalt ålder","kvinnor",51989.0,52631.0,53552.5,54374.5,55075.0,55745.5,56423.5,57062.5,57835.5,58527.0,59176.0
"1282 Landskrona","totalt ålder","män",19638.0,19962.0,20223.0,20435.0,20635.5,20867.0,21078.5,21321.5,21583.0,21823.5,22111.0
"1282 Landskrona","totalt ålder","kvinnor",20044.0,20256.5,20416.5,20608.0,20839.5,21089.5,21296.0,21495.0,21740.5,21944.0,22175.0
"1283 Helsingborg","totalt ålder","män",59741.5,60671.5,61572.0,62420.5,63042.5,63674.5,64450.0,65066.5,65972.0,67313.0,68732.0
"1283 Helsingborg","totalt ålder","kvinnor",62984.0,63516.0,64298.0,65136.0,65725.5,66227.0,66868.5,67433.5,68194.5,69313.5,70496.0
"1284 Höganäs","totalt ålder","män",11582.5,11718.5,11822.5,11932.0,12048.0,12101.5,12123.5,12235.0,12395.0,12553.0,12729.5
"1284 Höganäs","totalt ålder","kvinnor",12087.0,12242.5,12334.0,12432.0,12510.5,12566.0,12657.0,12738.5,12796.0,12901.0,12999.0
"1285 Eslöv","totalt ålder","män",15191.5,15364.0,15535.5,15669.0,15817.5,15939.5,15996.0,16047.0,16158.5,16318.0,16501.5
"1285 Eslöv","totalt ålder","kvinnor",15070.5,15242.0,15413.5,15527.0,15610.5,15718.0,15740.0,15785.0,15891.0,15990.5,16156.5
"1286 Ystad","totalt ålder","män",13203.0,13373.0,13520.0,13617.0,13708.0,13779.5,13837.5,13901.0,13957.5,14055.5,14264.5
"1286 Ystad","totalt ålder","kvinnor",14056.0,14185.5,14274.5,14372.5,14515.5,14603.0,14655.0,14689.5,14739.5,14822.5,14952.0
"1287 Trelleborg","totalt ålder","män",19854.0,20170.0,20491.0,20747.5,20956.0,21131.0,21220.0,21298.0,21419.0,21589.5,21855.5
"1287 Trelleborg","totalt ålder","kvinnor",20221.0,20499.5,20797.5,20977.0,21099.0,21249.5,21353.5,21423.0,21486.0,21576.5,21780.5
"1290 Kristianstad","totalt ålder","män",37301.0,37741.5,38147.0,38538.5,38939.5,39270.0,39583.0,39917.0,40329.5,40785.5,41201.0
"1290 Kristianstad","totalt ålder","kvinnor",38926.5,39151.0,39464.0,39844.0,40226.0,40466.5,40635.5,40841.0,41088.0,41382.5,41649.5
"1291 Simrishamn","totalt ålder","män",9483.0,9448.0,9450.0,9477.0,9466.0,9419.0,9329.5,9276.5,9268.0,9309.0,9486.5
"1291 Simrishamn","totalt ålder","kvinnor",9938.5,9914.0,9881.0,9865.0,9846.5,9803.0,9742.5,9697.5,9660.0,9676.0,9788.5
"1292 Ängelholm","totalt ålder","män",18720.5,18810.5,18865.0,18961.5,19100.5,19249.5,19352.5,19427.5,19568.5,19791.0,20076.5
"1292 Ängelholm","totalt ålder","kvinnor",19794.0,19905.0,19936.5,20007.0,20138.0,20260.5,20331.5,20376.5,20479.0,20689.5,20957.5
"1293 Hässleholm","totalt ålder","män",24564.0,24738.0,24900.0,24971.0,25034.0,25095.5,25104.5,25131.5,25271.0,25528.5,25868.5
"1293 Hässleholm","totalt ålder","kvinnor",24700.5,24842.5,24993.0,25050.0,25037.5,25040.0,25059.0,25063.5,25125.0,25278.0,25489.0
"1315 Hylte","totalt ålder","män",5275.5,5236.0,5215.5,5231.5,5202.5,5164.0,5134.0,5115.5,5201.5,5348.0,5534.5
"1315 Hylte","totalt ålder","kvinnor",5094.0,5078.0,5049.5,5043.5,5024.5,4987.5,4945.0,4901.0,4938.0,5048.0,5199.5
"1380 Halmstad","totalt ålder","män",43586.5,43952.0,44304.0,44695.5,45128.5,45423.0,45797.0,46274.0,46896.0,47729.0,48620.5
"1380 Halmstad","totalt ålder","kvinnor",45004.5,45390.5,45680.0,45968.5,46315.0,46624.0,46965.5,47383.5,47912.0,48513.0,49124.5
"1381 Laholm","totalt ålder","män",11639.5,11667.0,11695.0,11747.5,11802.0,11819.0,11818.5,11846.0,11943.5,12127.5,12368.0
"1381 Laholm","totalt ålder","kvinnor",11455.5,11504.0,11528.5,11554.0,11565.5,11611.0,11645.5,11641.5,11705.5,11860.5,12061.5
"1382 Falkenberg","totalt ålder","män",19872.0,20047.0,20192.0,20311.5,20450.0,20590.0,20669.5,20830.0,21127.0,21432.0,21841.0
"1382 Falkenberg","totalt ålder","kvinnor",19867.5,19972.0,20115.5,20283.5,20423.5,20566.0,20694.0,20837.5,21045.5,21259.0,21567.0
"1383 Varberg","totalt ålder","män",27403.5,27752.5,28095.0,28446.5,28793.5,29087.0,29340.0,29661.5,30011.0,30329.0,30726.0
"1383 Varberg","totalt ålder","kvinnor",27734.5,28034.0,28298.5,28609.5,28968.0,29243.0,29541.0,29899.5,30168.0,30397.0,30723.0
"1384 Kungsbacka","totalt ålder","män",35027.5,35513.5,35898.0,36383.0,36973.0,37493.0,37979.0,38358.0,38676.5,39120.5,39721.5
"1384 Kungsbacka","totalt ålder","kvinnor",35403.0,35979.5,36411.0,36924.0,37508.5,37996.5,38391.0,38730.0,39128.0,39561.0,40071.5
"1401 Härryda","totalt ålder","män",16194.0,16452.0,16774.5,17028.5,17242.0,17436.0,17596.5,17818.0,18075.5,18305.5,18515.5
"1401 Härryda","totalt ålder","kvinnor",16028.0,16230.0,16500.0,16765.0,16993.0,17222.5,17442.0,17659.5,17936.0,18165.5,18364.0
"1402 Partille","totalt ålder","män",16668.5,16708.5,16760.5,16938.5,17276.0,17572.0,17768.0,17926.0,18135.5,18411.0,18622.5
"1402 Partille","totalt ålder","kvinnor",16910.0,16948.0,16990.0,17153.5,17457.0,17729.0,17909.5,18066.0,18202.0,18341.5,18524.0
"1407 Öckerö","totalt ålder","män",6158.0,6162.5,6166.0,6178.0,6238.0,6287.0,6299.0,6305.5,6334.5,6357.5,6377.0
"1407 Öckerö","totalt ålder","kvinnor",6072.0,6080.0,6087.0,6093.0,6132.5,6181.0,6214.0,6251.0,6275.0,6306.0,6350.5
"1415 Stenungsund","totalt ålder","män",11578.0,11702.5,11815.0,11918.0,12044.0,12222.0,12394.0,12482.5,12571.0,12720.5,12900.5
"1415 Stenungsund","totalt ålder","kvinnor",11490.5,11587.0,11708.0,11902.0,12093.5,12224.5,12340.5,12417.5,12532.5,12671.0,12761.0
"1419 Tjörn","totalt ålder","män",7672.0,7650.0,7656.0,7664.0,7659.0,7661.0,7663.5,7683.5,7715.5,7770.0,7877.5
"1419 Tjörn","totalt ålder","kvinnor",7316.0,7299.0,7297.5,7298.0,7299.0,7296.0,7303.0,7328.5,7377.0,7455.0,7572.0
"1421 Orust","totalt ålder","män",7728.5,7752.0,7784.5,7781.0,7746.5,7688.5,7654.0,7624.0,7621.5,7624.0,7635.0
"1421 Orust","totalt ålder","kvinnor",7458.0,7527.0,7565.5,7536.5,7518.0,7486.5,7452.0,7435.5,7423.5,7408.0,7416.5
"1427 Sotenäs","totalt ålder","män",4629.0,4619.5,4599.5,4551.5,4517.5,4500.0,4500.0,4503.0,4502.0,4519.0,4556.5
"1427 Sotenäs","totalt ålder","kvinnor",4668.0,4662.0,4625.5,4589.5,4564.5,4529.5,4505.5,4463.0,4427.5,4449.5,4479.0
"1430 Munkedal","totalt ålder","män",5225.5,5221.5,5227.0,5242.5,5253.5,5259.5,5258.0,5249.0,5274.5,5289.0,5329.5
"1430 Munkedal","totalt ålder","kvinnor",5039.5,5029.5,5023.5,5003.0,4960.0,4942.5,4940.0,4940.0,4949.5,4935.0,4953.5
"1435 Tanum","totalt ålder","män",6134.0,6138.5,6161.0,6197.0,6231.5,6236.0,6199.0,6193.0,6227.0,6282.0,6364.5
"1435 Tanum","totalt ålder","kvinnor",6118.5,6111.0,6097.5,6065.0,6080.0,6109.0,6096.0,6093.5,6097.5,6118.5,6166.0
"1438 Dals-Ed","totalt ålder","män",2511.5,2495.0,2464.5,2439.0,2419.5,2409.0,2410.5,2436.5,2469.0,2490.5,2496.0
"1438 Dals-Ed","totalt ålder","kvinnor",2384.0,2372.5,2347.0,2319.5,2291.0,2276.5,2261.5,2266.0,2283.0,2291.0,2292.0
"1439 Färgelanda","totalt ålder","män",3527.5,3513.5,3504.5,3490.0,3472.0,3446.5,3419.0,3396.0,3369.5,3349.5,3389.5
"1439 Färgelanda","totalt ålder","kvinnor",3274.0,3261.0,3252.5,3227.5,3200.5,3183.5,3158.5,3138.5,3141.5,3149.0,3171.5
"1440 Ale","totalt ålder","män",13508.5,13665.0,13809.0,13898.5,13907.0,13953.0,14067.5,14206.5,14377.0,14578.0,14879.5
"1440 Ale","totalt ålder","kvinnor",13094.0,13281.0,13398.5,13460.0,13511.0,13556.5,13642.0,13751.5,13871.5,14064.5,14326.0
"1441 Lerum","totalt ålder","män",18315.5,18614.5,18830.0,18985.0,19140.5,19278.5,19429.5,19571.5,19761.0,20019.0,20302.5
"1441 Lerum","totalt ålder","kvinnor",18483.5,18787.0,19068.0,19208.0,19300.0,19405.5,19499.5,19623.0,19784.0,19957.0,20134.0
"1442 Vårgårda","totalt ålder","män",5476.5,5527.0,5542.5,5520.0,5498.0,5505.0,5533.0,5556.5,5580.0,5612.0,5688.5
"1442 Vårgårda","totalt ålder","kvinnor",5349.5,5415.0,5439.5,5451.5,5457.0,5463.5,5479.0,5491.0,5497.0,5515.0,5541.5
"1443 Bollebygd","totalt ålder","män",4119.0,4134.0,4140.0,4171.5,4229.0,4266.5,4288.5,4316.5,4349.0,4404.0,4522.0
"1443 Bollebygd","totalt ålder","kvinnor",4013.5,4052.0,4072.5,4071.0,4085.0,4099.0,4143.0,4218.0,4258.0,4321.5,4428.5
"1444 Grästorp","totalt ålder","män",2917.5,2942.5,2947.0,2955.0,2949.0,2903.0,2862.0,2855.0,2864.5,2880.0,2895.5
"1444 Grästorp","totalt ålder","kvinnor",2868.0,2877.5,2894.0,2899.0,2867.5,2822.0,2794.5,2785.0,2771.0,2757.0,2787.0
"1445 Essunga","totalt ålder","män",2854.5,2834.5,2837.0,2836.0,2829.0,2799.5,2775.0,2769.5,2776.0,2789.5,2798.0
"1445 Essunga","totalt ålder","kvinnor",2829.5,2810.0,2794.5,2777.0,2753.5,2729.0,2722.5,2728.5,2740.0,2774.5,2807.0
"1446 Karlsborg","totalt ålder","män",3425.0,3430.5,3420.0,3406.5,3402.5,3392.5,3377.0,3393.5,3432.5,3438.5,3476.0
"1446 Karlsborg","totalt ålder","kvinnor",3464.0,3434.5,3400.0,3380.5,3365.5,3344.5,3333.5,3334.5,3339.0,3336.5,3362.5
"1447 Gullspång","totalt ålder","män",2830.5,2789.0,2750.0,2722.0,2699.0,2685.5,2669.0,2646.0,2644.5,2660.0,2682.5
"1447 Gullspång","totalt ålder","kvinnor",2720.0,2676.5,2648.0,2631.0,2614.0,2585.5,2567.0,2557.0,2568.0,2574.5,2585.5
"1452 Tranemo","totalt ålder","män",6020.0,6014.5,6025.0,5992.5,5942.0,5934.5,5936.0,5922.5,5945.5,5986.5,6050.5
"1452 Tranemo","totalt ålder","kvinnor",5753.0,5731.5,5710.5,5679.0,5662.5,5662.0,5653.5,5629.5,5640.0,5643.0,5647.0
"1460 Bengtsfors","totalt ålder","män",5138.0,5086.5,5044.5,5017.0,4995.5,4957.0,4919.5,4910.0,4912.0,4944.5,5074.5
"1460 Bengtsfors","totalt ålder","kvinnor",5014.5,4932.0,4882.5,4852.0,4820.5,4778.5,4714.5,4659.0,4641.0,4646.5,4708.5
"1461 Mellerud","totalt ålder","män",4911.0,4889.5,4838.0,4756.5,4700.0,4665.5,4617.0,4582.5,4595.0,4683.0,4794.5
"1461 Mellerud","totalt ålder","kvinnor",4719.5,4698.5,4659.5,4595.0,4520.0,4458.0,4390.0,4336.5,4319.0,4369.5,4451.5
"1462 Lilla Edet","totalt ålder","män",6603.5,6608.5,6607.5,6581.5,6517.0,6471.5,6488.0,6575.5,6696.0,6789.5,6978.5
"1462 Lilla Edet","totalt ålder","kvinnor",6259.0,6227.0,6225.5,6220.5,6158.5,6087.5,6072.0,6129.0,6234.0,6315.0,6474.5
"1463 Mark","totalt ålder","män",16706.5,16754.0,16810.5,16854.0,16888.0,16883.0,16873.0,16898.0,16941.5,16984.5,17106.5
"1463 Mark","totalt ålder","kvinnor",16837.5,16907.5,16957.5,16960.0,16945.0,16935.0,16904.0,16860.0,16878.5,16912.0,16955.5
"1465 Svenljunga","totalt ålder","män",5277.0,5270.0,5246.0,5226.5,5239.5,5250.5,5250.0,5251.5,5282.0,5347.0,5443.5
"1465 Svenljunga","totalt ålder","kvinnor",5140.5,5148.0,5126.0,5075.5,5050.0,5034.5,5010.5,5017.5,5050.0,5088.5,5149.0
"1466 Herrljunga","totalt ålder","män",4750.5,4750.0,4760.0,4771.5,4774.0,4759.0,4742.5,4724.0,4733.5,4740.5,4771.0
"1466 Herrljunga","totalt ålder","kvinnor",4523.5,4523.5,4532.0,4542.5,4557.0,4540.0,4540.5,4554.0,4591.5,4622.0,4646.5
"1470 Vara","totalt ålder","män",8141.0,8154.0,8150.0,8093.0,8057.5,8040.0,8004.5,7982.0,7980.5,7994.5,8043.0
"1470 Vara","totalt ålder","kvinnor",7843.5,7830.5,7788.0,7726.5,7709.0,7688.0,7621.0,7601.0,7622.5,7635.0,7682.0
"1471 Götene","totalt ålder","män",6566.5,6614.5,6657.0,6701.5,6731.5,6702.5,6664.5,6641.5,6635.0,6681.5,6755.0
"1471 Götene","totalt ålder","kvinnor",6352.5,6393.0,6413.5,6434.0,6473.0,6476.0,6448.5,6418.5,6419.0,6438.5,6462.5
"1472 Tibro","totalt ålder","män",5349.0,5355.5,5355.0,5347.0,5325.5,5339.0,5383.0,5421.0,5463.5,5512.5,5566.0
"1472 Tibro","totalt ålder","kvinnor",5277.0,5285.5,5281.5,5289.5,5260.0,5253.5,5266.0,5292.5,5345.5,5409.5,5459.0
"1473 Töreboda","totalt ålder","män",4765.0,4753.5,4731.5,4700.5,4666.0,4626.5,4609.5,4613.5,4652.0,4728.5,4822.0
"1473 Töreboda","totalt ålder","kvinnor",4654.0,4618.5,4584.5,4555.0,4518.0,4461.5,4426.5,4387.0,4380.0,4454.0,4542.0
"1480 Göteborg","totalt ålder","män",240504.0,242915.5,245844.0,249545.0,253086.5,256410.0,259374.5,262483.5,266416.0,270460.5,274770.0
"1480 Göteborg","totalt ålder","kvinnor",246845.5,248714.0,251005.5,254218.5,257454.0,260652.5,263857.0,267196.5,270792.0,274207.0,277645.0
"1481 Mölndal","totalt ålder","män",29014.0,29327.5,29544.5,29771.5,30081.0,30347.5,30555.0,30754.0,31109.0,31469.5,31889.5
"1481 Mölndal","totalt ålder","kvinnor",29572.0,29856.5,30076.5,30325.0,30596.0,30807.5,30943.0,31064.5,31343.5,31664.0,32013.0
"1482 Kungälv","totalt ålder","män",19345.5,19592.0,19942.5,20214.0,20441.0,20642.0,20783.0,20912.0,21046.5,21204.0,21444.0
"1482 Kungälv","totalt ålder","kvinnor",19455.5,19682.0,20016.0,20283.5,20543.0,20747.5,20862.5,21019.0,21175.0,21328.0,21565.5
"1484 Lysekil","totalt ålder","män",7315.0,7313.0,7317.5,7288.0,7247.5,7214.5,7191.5,7173.0,7128.0,7164.0,7261.5
"1484 Lysekil","totalt ålder","kvinnor",7329.0,7319.0,7328.5,7309.0,7280.5,7245.0,7205.5,7209.5,7206.0,7217.5,7255.5
"1485 Uddevalla","totalt ålder","män",24912.0,25038.5,25227.0,25407.5,25528.0,25666.5,25868.0,26108.0,26387.0,26723.0,27212.5
"1485 Uddevalla","totalt ålder","kvinnor",25498.5,25675.5,25826.5,25944.5,26165.0,26345.5,26475.0,26669.5,26884.0,27125.5,27459.5
"1486 Strömstad","totalt ålder","män",5746.0,5775.0,5795.0,5845.0,5896.0,5972.5,6099.5,6221.5,6339.0,6462.0,6583.0
"1486 Strömstad","totalt ålder","kvinnor",5792.0,5788.5,5787.5,5803.5,5853.0,5936.5,6053.0,6166.0,6248.0,6312.0,6383.5
"1487 Vänersborg","totalt ålder","män",18398.5,18410.5,18417.0,18395.5,18357.5,18385.0,18421.0,18548.0,18820.0,19111.0,19405.5
"1487 Vänersborg","totalt ålder","kvinnor",18588.5,18570.5,18548.0,18535.5,18506.5,18524.5,18544.0,18620.5,18809.5,19024.5,19262.5
"1488 Trollhättan","totalt ålder","män",26883.0,27144.5,27328.5,27449.0,27634.5,27787.5,27898.5,28153.0,28460.0,28607.5,28818.0
"1488 Trollhättan","totalt ålder","kvinnor",26683.0,26920.5,27065.0,27231.0,27426.0,27586.0,27725.5,28008.0,28291.0,28403.0,28604.5
"1489 Alingsås","totalt ålder","män",17802.0,18010.5,18230.0,18437.5,18581.5,18740.5,18883.5,19031.0,19288.5,19575.0,19813.0
"1489 Alingsås","totalt ålder","kvinnor",18443.5,18599.5,18763.0,18943.5,19074.0,19184.0,19320.5,19456.0,19615.0,19820.0,20010.5
"1490 Borås","totalt ålder","män",48854.0,49307.0,49652.5,50048.0,50598.0,51122.5,51581.5,52081.5,52614.5,53313.0,54179.0
"1490 Borås","totalt ålder","kvinnor",50919.0,51296.0,51583.5,51924.5,52278.0,52577.5,52905.0,53349.5,53894.0,54442.0,55005.0
"1491 Ulricehamn","totalt ålder","män",11230.0,11281.0,11366.0,11423.5,11467.0,11550.5,11603.5,11656.0,11735.5,11831.5,12004.5
"1491 Ulricehamn","totalt ålder","kvinnor",11178.5,11208.0,11258.0,11306.0,11328.5,11366.5,11402.0,11457.0,11492.0,11537.5,11686.0
"1492 Åmål","totalt ålder","män",6260.5,6220.5,6193.0,6151.5,6090.0,6055.5,6050.5,6066.0,6124.5,6247.5,6392.0
"1492 Åmål","totalt ålder","kvinnor",6466.0,6432.0,6374.0,6338.0,6274.5,6205.0,6168.0,6154.0,6153.0,6216.0,6309.0
"1493 Mariestad","totalt ålder","män",11951.5,11948.5,11916.5,11892.5,11866.5,11847.5,11862.0,11919.5,11995.0,12057.5,12128.0
"1493 Mariestad","totalt ålder","kvinnor",11962.5,11953.5,11931.5,11919.5,11903.5,11889.0,11873.5,11885.0,11900.5,11924.5,12001.0
"1494 Lidköping","totalt ålder","män",18574.5,18677.5,18776.5,18833.5,18889.0,18984.5,19060.5,19123.0,19251.5,19402.5,19538.0
"1494 Lidköping","totalt ålder","kvinnor",18878.5,18972.0,19071.0,19122.0,19129.5,19131.0,19158.0,19211.0,19336.0,19482.5,19584.0
"1495 Skara","totalt ålder","män",9121.0,9113.5,9099.0,9079.0,9027.0,8965.0,8988.0,9118.5,9280.5,9357.0,9430.5
"1495 Skara","totalt ålder","kvinnor",9465.5,9456.0,9432.0,9407.5,9357.5,9302.0,9262.5,9312.0,9383.0,9372.0,9414.5
"1496 Skövde","totalt ålder","män",24904.5,24993.5,25124.0,25331.0,25604.0,25884.0,26105.0,26449.5,26758.0,26986.0,27281.0
"1496 Skövde","totalt ålder","kvinnor",25162.0,25181.5,25279.5,25466.0,25589.0,25697.5,25881.5,26086.0,26238.5,26358.5,26563.0
"1497 Hjo","totalt ålder","män",4401.0,4394.0,4371.0,4383.0,4391.5,4375.0,4372.0,4369.0,4390.5,4458.0,4523.5
"1497 Hjo","totalt ålder","kvinnor",4450.0,4437.0,4438.0,4451.0,4458.5,4440.5,4439.0,4449.5,4454.5,4476.0,4492.0
