"Medelfolkmängd (efter födelseår) efter region, ålder, kön och år"

"region","ålder","kön","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"0184 Solna","totalt ålder","kvinnor",31379.5,32019.0,32822.5,33608.5,34241.5,34914.0,35663.5,36337.0,36990.0,37769.5,38686.0
"0186 Lidingö","totalt ålder","män",20147.5,20351.0,20535.0,20767.5,20995.0,21224.5,21379.0,21675.0,21959.5,22270.5,22667.0
"0186 Lidingö","totalt ålder","kvinnor",21959.0,22164.5,22375.5,22510.5,22658.0,22824.5,22878.5,23131.0,23362.0,23613.0,23910.5
"0187 Vaxholm","totalt ålder","män",5072.0,5185.0,5280.5,5382.0,5464.5,5468.0,5519.0,5542.0,5593.0,5632.0,5702.0
"0187 Vaxholm","totalt ålder","kvinnor",5209.5,5335.0,5393.0,5492.0,5596.5,5585.0,5614.5,5615.0,5665.5,5722.5,5798.5
"0188 Norrtälje","totalt ålder","män",27404.5,27525.5,27662.5,27797.5,27956.5,28094.0,28256.5,28434.0,28731.5,29235.0,29733.0
"0188 Norrtälje","totalt ålder","kvinnor",27311.5,27505.0,27714.0,27930.0,28047.0,28068.5,28183.0,28305.5,28475.0,28883.5,29311.5
"0191 Sigtuna","totalt ålder","män",18347.0,18624.5,18987.0,19362.5,19781.0,20324.0,20923.5,21481.0,21971.5,22387.0,23062.5
"0191 Sigtuna","totalt ålder","kvinnor",18496.5,18760.0,19095.5,19433.0,19823.5,20335.5,20877.0,21341.0,21757.0,22048.5,22467.5
"0192 Nynäshamn","totalt ålder","män",12443.0,12647.0,12800.5,12917.5,13065.5,13206.5,13372.0,13518.5,13624.0,13784.5,13966.5
"0192 Nynäshamn","totalt ålder","kvinnor",12377.0,12525.5,12625.5,12722.5,12841.0,12933.5,13038.0,13165.5,13294.5,13486.0,13659.5
"0305 Håbo","totalt ålder","män",9394.0,9485.5,9651.5,9791.5,9895.0,9968.5,10028.0,10078.5,10111.5,10197.5,10381.5
"0305 Håbo","totalt ålder","kvinnor",9209.0,9298.5,9426.5,9547.0,9645.5,9703.5,9771.0,9847.0,9889.5,9959.0,10126.5
"0319 Älvkarleby","totalt ålder","män",4600.5,4610.5,4608.0,4616.0,4638.0,4648.0,4637.5,4648.5,4681.0,4728.0,4790.5
"0319 Älvkarleby","totalt ålder","kvinnor",4494.5,4492.0,4471.5,4450.0,4447.5,4448.0,4436.5,4447.0,4469.5,4503.0,4578.5
"0330 Knivsta","totalt ålder","män",6731.5,6907.0,7085.5,7222.0,7344.5,7475.5,7618.0,7762.0,7973.5,8317.0,8643.5
"0330 Knivsta","totalt ålder","kvinnor",6729.0,6868.5,7021.0,7146.0,7256.0,7369.0,7504.0,7667.5,7869.0,8170.0,8452.5
"0331 Heby","totalt ålder","män",6952.0,6924.5,6894.5,6849.0,6845.0,6861.0,6851.0,6858.5,6892.5,6935.0,6981.5
"0331 Heby","totalt ålder","kvinnor",6630.0,6586.5,6555.0,6532.0,6523.5,6520.5,6521.5,6548.5,6577.5,6607.0,6693.0
"0360 Tierp","totalt ålder","män",10052.0,10071.0,10140.5,10148.0,10147.5,10167.0,10183.0,10199.5,10212.0,10307.0,10438.5
"0360 Tierp","totalt ålder","kvinnor",9947.5,9934.5,9970.0,9950.5,9937.0,9934.0,9933.5,9950.5,9982.5,10089.0,10207.0
"0380 Uppsala","totalt ålder","män",89934.0,91149.0,92632.0,94522.5,96462.5,97911.5,99145.5,100447.0,101694.5,102938.0,104708.5
"0380 Uppsala","totalt ålder","kvinnor",94313.5,95215.0,96472.5,98187.0,99806.5,100982.5,102167.5,103465.0,104586.0,105806.0,107634.0
"0381 Enköping","totalt ålder","män",19142.0,19241.0,19391.0,19549.0,19753.5,19925.5,20111.5,20326.5,20558.5,20914.0,21444.5
"0381 Enköping","totalt ålder","kvinnor",19312.0,19386.0,19482.0,19620.0,19806.0,19961.5,20070.5,20176.0,20351.0,20614.0,20996.0
"0382 Östhammar","totalt ålder","män",10978.0,10922.5,10930.5,10931.5,10939.0,10951.5,10925.0,10921.5,10953.0,11018.0,11140.0
"0382 Östhammar","totalt ålder","kvinnor",10543.5,10505.5,10497.0,10481.0,10443.0,10428.5,10399.5,10385.5,10410.0,10450.5,10552.5
"0428 Vingåker","totalt ålder","män",4659.0,4625.0,4583.0,4543.5,4511.0,4489.5,4470.5,4475.0,4513.0,4560.0,4623.0
"0428 Vingåker","totalt ålder","kvinnor",4581.5,4522.0,4458.0,4412.0,4391.0,4369.0,4329.0,4330.0,4364.0,4376.0,4403.0
"0461 Gnesta","totalt ålder","män",4998.0,5015.0,5051.5,5105.0,5133.0,5139.0,5189.0,5223.0,5227.5,5299.5,5417.0
"0461 Gnesta","totalt ålder","kvinnor",4971.5,4991.0,5053.5,5143.5,5206.0,5213.5,5204.5,5202.5,5233.5,5281.5,5338.0
"0480 Nyköping","totalt ålder","män",24578.5,24812.5,25011.0,25122.5,25308.0,25499.5,25656.5,25952.0,26319.5,26645.5,26999.0
"0480 Nyköping","totalt ålder","kvinnor",25425.0,25663.0,25855.5,25968.5,26118.5,26270.5,26459.5,26735.0,26953.5,27239.5,27594.0
"0481 Oxelösund","totalt ålder","män",5635.0,5645.0,5661.5,5655.0,5653.5,5679.5,5700.0,5747.0,5837.0,5915.0,6010.0
"0481 Oxelösund","totalt ålder","kvinnor",5487.5,5484.5,5497.5,5493.0,5506.0,5542.0,5543.0,5572.5,5640.0,5711.0,5801.0
"0482 Flen","totalt ålder","män",8199.5,8180.0,8187.0,8182.5,8156.0,8140.5,8143.5,8183.5,8263.5,8357.5,8526.5
"0482 Flen","totalt ålder","kvinnor",8117.5,8026.5,7975.0,7953.5,7927.5,7905.0,7897.5,7904.0,7935.5,7983.5,8108.5
